Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
36.91,PC,Sculpture,Gaston Lachaise,Lachaise Gaston,Standing Woman,1912-1927,1912,Bronze,Overall: 70 5/8 x 28 1/2 x 19 1/8in. (179.4 x 72.4 x 48.6 cm),,Purchase
36.102.1,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road I,-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 9 9/16 x 4 3/8in. (24.3 x 11.1 cm)",Etching and soft-ground,Purchase
36.102.1-33,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road,-1933,1933,See individual records. Portfolio of thirty-two etchings.,See individual records,"Portfolio of 18 text plates, 14 soft-ground etching illustrations and 1 index page",Purchase
36.102.2,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road II,-1933,1933,Etching,"Sheet: 17 7/8 x 15 7/8in. (45.4 x 40.3 cm)
Plate: 7 1/2 x 9 13/16in. (19.1 x 24.9 cm)",Etching and soft-ground,Purchase
36.102.3,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road III,-1933,1933,Etching,"Sheet: 18 x 15 3/4in. (45.7 x 40 cm)
Plate: 7 1/8 x 9 7/8in. (18.1 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.4,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road IV,-1933,1933,Etching,"Sheet: 18 x 15 3/4in. (45.7 x 40 cm)
Plate: 7 5/8 x 9 7/8in. (19.4 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.5,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road V,-1933,1933,Etching,"Sheet: 17 7/8 x 15 13/16in. (45.4 x 40.2 cm)
Plate: 9 5/8 x 7 7/8in. (24.4 x 20 cm)",Etching and soft-ground,Purchase
36.102.6,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road VI,-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 6 11/16 x 8 13/16in. (17 x 22.4 cm)",Etching and soft-ground,Purchase
36.102.7,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road VII,-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 7 9/16 x 9 7/8in. (19.2 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.8,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road VIII,-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 7 5/16 x 9 7/8in. (18.6 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.9,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road IX,-1933,1933,Etching,"Sheet: 18 x 15 15/16in. (45.7 x 40.5 cm)
Plate: 9 5/8 x 4 7/16in. (24.5 x 11.3 cm)",Etching and soft-ground,Purchase
36.102.10,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road X,-1933,1933,Etching,"Sheet: 17 15/16 x 15 7/8in. (45.6 x 40.3 cm)
Plate: 7 7/16 x 9 13/16in. (18.9 x 24.9 cm)",Etching and soft-ground,Purchase
36.102.11,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road XI,-1933,1933,Etching,"Sheet: 18 x 15 15/16in. (45.7 x 40.5 cm)
Plate: 3 15/16 x 9 7/8in. (10 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.12,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road XII,-1933,1933,Etching,"Sheet: 18 1/16 x 15 13/16in. (45.9 x 40.2 cm)
Plate: 9 1/4 x 7 7/8in. (23.5 x 20 cm)",Etching and soft-ground,Purchase
36.102.13,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road XIII,-1933,1933,Etching,"Sheet: 18 1/16 x 15 15/16in. (45.9 x 40.5 cm)
Plate: 7 1/4 x 9 7/8in. (18.4 x 25.1 cm)",Etching and soft-ground,Purchase
36.102.14,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,Song of the Open Road XIV,-1933,1933,Etching,"Sheet: 18 1/16 x 15 7/8in. (45.9 x 40.3 cm)
Plate: 9 3/16 x 3 11/16in. (23.3 x 9.4 cm)",Etching and soft-ground,Purchase
36.102.15,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate I),-1933,1933,Etching,"Sheet: 18 x 15 5/8in. (45.7 x 39.7 cm)
Plate: 8 13/16 x 5 7/8in. (22.4 x 14.9 cm)",Etching and soft-ground,Purchase
36.102.16,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate II),-1933,1933,Etching,"Sheet: 18 1/16 x 15 15/16in. (45.9 x 40.5 cm)
Plate: 7 7/8 x 5 15/16in. (20 x 15.1 cm)",,Purchase
36.102.17,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate III),-1933,1933,Etching,"Sheet: 18 7/8 x 15 3/4in. (47.9 x 40 cm)
Plate: 8 13/16 x 5 15/16in. (22.4 x 15.1 cm)",,Purchase
36.102.18,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate IV),-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.19,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate V),-1933,1933,Etching,"Sheet: 18 1/8 x 15 3/4in. (46 x 40 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.20,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate VI),-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 8 13/16 x 6 7/8in. (22.4 x 17.5 cm)",,Purchase
36.102.21,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate VII),-1933,1933,Etching,"Sheet: 18 1/8 x 15 3/4in. (46 x 40 cm)
Plate: 8 7/8 x 6 7/8in. (22.5 x 17.5 cm)",,Purchase
36.102.22,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate VIII),-1933,1933,Etching,"Sheet: 18 x 15 7/8in. (45.7 x 40.3 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.23,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate IX),-1933,1933,Etching,"Sheet: 18 1/8 x 15 3/4in. (46 x 40 cm)
Plate: 8 7/8 x 5 15/16in. (22.5 x 15.1 cm)",,Purchase
36.102.24,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate X),-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.25,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XI),-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 8 13/16 x 5 7/8in. (22.4 x 14.9 cm)",,Purchase
36.102.26,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XII),-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 8 13/16 x 5 15/16in. (22.4 x 15.1 cm)",,Purchase
36.102.27,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XIII),-1933,1933,Etching,"Sheet: 18 x 15 13/16in. (45.7 x 40.2 cm)
Plate: 8 13/16 x 5 13/16in. (22.4 x 14.8 cm)",,Purchase
36.102.28,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XIV),-1933,1933,Etching,"Sheet: 18 1/16 x 15 3/4in. (45.9 x 40 cm)
Plate: 8 7/8 x 6in. (22.5 x 15.2 cm)",,Purchase
36.102.29,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XV),-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.30,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XVI),-1933,1933,Etching,"Sheet: 18 1/16 x 15 3/4in. (45.9 x 40 cm)
Plate: 8 13/16 x 5 7/8in. (22.4 x 14.9 cm)",,Purchase
36.102.31,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XVII),-1933,1933,Etching,"Sheet: 18 1/8 x 15 13/16in. (46 x 40.2 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.32,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Text plate XVIII),-1933,1933,Etching,"Sheet: 18 x 15 3/4in. (45.7 x 40 cm)
Plate: 8 7/8 x 5 7/8in. (22.5 x 14.9 cm)",,Purchase
36.102.33,PC,Prints,Lewis C. Daniel,Daniel Lewis C.,(Key plate to illustrations),-1933,1933,Etching,"Sheet: 18 3/16 x 15 3/4in. (46.2 x 40 cm)
Plate: 8 3/8 x 5 3/4in. (21.3 x 14.6 cm)",,Purchase
36.135,PC,Drawings,Peppino Gino Mangravite,Mangravite Peppino Gino,Abduction of a Beautiful Lady,-1935,1935,Opaque watercolor on paper,Sheet: 17 15/16 x 11 15/16in. (45.6 x 30.3 cm),,Purchase
36.136,PC,Drawings,Henry Lee McFee,McFee Henry Lee,Negro Head,-1935,1935,Graphite pencil on paper,Sheet (Irregular): 16 15/16 x 12in. (43 x 30.5 cm),,Purchase
36.137,PC,Drawings,Alice O'Connor,O'Connor Alice,Five Cents Wortha Peanuts,(c. 1935-1936),1935,"Pen and ink, wash, and graphite pencil on paper","Sheet: 14 x 11in. (35.6 x 27.9 cm)
Image: 8 1/2 x 8 1/16in. (21.6 x 20.5 cm)",,Purchase
36.138,PC,Drawings,Alice O'Connor,O'Connor Alice,Bare Feet,(c. 1935-1936),1935,"Pen, brush and ink, and graphite pencil on paper","Sheet: 14 x 11in. (35.6 x 27.9 cm)
Image: 8 1/2 x 8 1/4in. (21.6 x 21 cm)",,Purchase
36.142,PC,Paintings,Alexander Brook,Brook Alexander,Morning Light,1936,1936,Tempera and oil on linen,Overall: 30 x 40in. (76.2 x 101.6 cm),,Purchase
36.144,PC,Paintings,Joe Jones,Jones Joe,American Farm,-1936,1936,Oil and tempera on canvas,Overall: 29 13/16 x 39 15/16in. (75.7 x 101.4 cm),,Purchase
36.145,PC,Paintings,Peppino Gino Mangravite,Mangravite Peppino Gino,City People in the Country,-1936,1936,Oil on linen,Overall: 25 3/4 x 39 5/8in. (65.4 x 100.6 cm),,Purchase
36.146,PC,Paintings,Henry Mattson,Mattson Henry,Quinces,1936,1936,Oil on canvas,Overall: 32 1/8 x 22 1/16in. (81.6 x 56 cm),,Purchase
36.147,PC,Paintings,Kenneth Hayes Miller,Miller Kenneth Hayes,Box Party,1936,1936,"Oil, tempera, and graphite pencil on canvas",Overall: 60 1/4 x 46 1/4in. (153 x 117.5 cm),,Purchase
36.148,PC,Paintings,Louis Ribak,Ribak Louis,Home Relief Station,1935-1936,1935,Oil on canvas,Overall: 28 1/8 x 36 1/8in. (71.4 x 91.8 cm),,Purchase
36.149,PC,Paintings,Raphael Soyer,Soyer Raphael,Office Girls,1936,1936,Oil on canvas,Overall: 26 1/8 x 24 1/8in. (66.4 x 61.3 cm),,Purchase
36.15,PC,Paintings,Emlen Etting,Etting Emlen,Western Railway,-1936,1936,Oil on linen,Overall: 30 1/4 x 40 1/8in. (76.8 x 101.9 cm),,Purchase
36.151,PC,Paintings,Audrey Buller,Buller Audrey,Tragedy,-1936,1936,Oil on linen,Overall: 15 1/16 x 25in. (38.3 x 63.5 cm),,Purchase
36.152,PC,Paintings,Paul Burlin,Burlin Paul,The Ghost City,1936,1936,Oil on linen,Overall: 32 1/8 x 39 7/8in. (81.6 x 101.3 cm),,Purchase
36.153,PC,Paintings,John Sloan,Sloan John,"Backyards, Greenwich Village",1914,1914,Oil on canvas,Overall: 26 x 31 15/16in. (66 x 81.1 cm),,Purchase
36.154,PC,Paintings,John Sloan,Sloan John,Sixth Avenue Elevated at Third Street,-1928,1928,Oil on canvas,Overall: 30 x 40 1/8in. (76.2 x 101.9 cm),,Purchase
36.163,PC,Prints,Walter K. Frame,Frame Walter K.,"Willows, Annisquam",(c. 1936),1936,Etching,"Sheet (Irregular): 11 5/16 x 15 1/16in. (28.7 x 38.3 cm)
Plate: 8 13/16 x 11 7/8in. (22.4 x 30.2 cm)",,Purchase
36.164,PC,Prints,Martin Lewis,Lewis Martin,Bedford Street Gang,-1935,1935,Drypoint,"Sheet: 12 7/16 x 17 5/8in. (31.6 x 44.8 cm)
Plate: 8 15/16 x 14 3/8in. (22.7 x 36.5 cm)",,Purchase
36.165,PC,Prints,Thomas W. Nason,Nason Thomas W.,Spring Landscape,n.d.,0,Engraving,"Sheet (Irregular): 9 15/16 x 12 5/16in. (25.2 x 31.3 cm)
Plate: 5 15/16 x 8 13/16in. (15.1 x 22.4 cm)",,Purchase
36.166,PC,Prints,James Brooks,Brooks James,"Copper Mine, Butte",1935,1935,Lithograph,"Sheet: 15 7/8 x 22 7/8in. (40.3 x 58.1 cm)
Image: 12 x 16 13/16in. (30.5 x 42.7 cm)",,Purchase
36.167,PC,Prints,Charles Pollock,Pollock Charles,Look Down That Road,n.d.,0,Lithograph,"Sheet: 11 5/8 x 15 7/8in. (29.5 x 40.3 cm)
Image: 8 15/16 x 11 15/16in. (22.7 x 30.3 cm)",,Purchase
36.169,PC,Prints,Wanda Gag,Gag Wanda,Spring on the Hillside,1935,1935,Lithograph,"Sheet (Irregular): 11 1/2 x 16in. (29.2 x 40.6 cm)
Image: 9 x 11 3/4in. (22.9 x 29.9 cm)",,Purchase
36.17,PC,Prints,Albert Heckman,Heckman Albert,Car Barns at Kingston,-1935,1935,Lithograph,"Sheet: 14 7/8 x 18 9/16in. (37.8 x 47.1 cm)
Image: 10 5/8 x 14 3/8in. (27 x 36.5 cm)",,Purchase
36.171,PC,Prints,Stefan Hirsch,Hirsch Stefan,Mail Dispatcher,1935,1935,Lithograph,"Sheet (Irregular): 16 1/16 x 11 1/2in. (40.8 x 29.2 cm)
Image: 9 5/8 x 9 3/8in. (24.5 x 23.8 cm)",,Purchase
36.172,PC,Prints,Victoria Hutson Huntley,Huntley Victoria Hutson,Drums and Barrels,1935,1935,Lithograph,"Sheet (Irregular): 12 13/16 x 16 3/4in. (32.5 x 42.5 cm)
Image: 9 13/16 x 13 3/4in. (24.9 x 34.9 cm)",,Purchase
36.173,PC,Prints,John Sloan,Sloan John,The Bus Office,1904,1904,Etching,"Sheet: 5 3/8 x 8 5/16in. (13.7 x 21.1 cm)
Plate: 3 13/16 x 5 9/16in. (9.7 x 14.1 cm)",,Purchase
36.174,PC,Prints,John Sloan,Sloan John,"Cherami Eats, Auguste Writes",1904,1904,Etching,"Sheet: 8 3/8 x 5 5/16in. (21.3 x 13.5 cm)
Plate: 5 1/16 x 4 3/16in. (12.9 x 10.6 cm)",,Purchase
36.175,PC,Prints,John Sloan,Sloan John,Nanon Beats the Drum,1904,1904,Etching,"Sheet (Irregular): 8 1/4 x 5 5/16in. (21 x 13.5 cm)
Plate: 5 3/8 x 3 7/8in. (13.7 x 9.8 cm)",,Purchase
37.1a-b,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Animals Entering the Ark"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper on board,Sheet (Irregular): 13 1/8 x 17 1/16in. (33.3 x 43.3 cm),,Purchase
37.2,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Deck of the Ark"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper mounted on board,"Sheet (Irregular): 10 5/16 x 15in. (26.2 x 38.1 cm)
Image (Irregular): 6 3/8 x 7 1/2in. (16.2 x 19.1 cm)",,Purchase
37.3,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Fish Fry"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper mounted on board,"Sheet (Irregular): 10 13/16 x 14 3/4in. (27.5 x 37.5 cm)
Image (Irregular): 6 1/4 x 8 3/4in. (15.9 x 22.2 cm)",,Purchase
37.4,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Hezrel"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor on paper,Sheet (Irregular): 10 5/8 x 11 7/8in. (27 x 30.2 cm),,Purchase
37.5,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Jericho"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper mounted on board,Sheet (Irregular): 10 9/16 x 15in. (26.8 x 38.1 cm),,Purchase
37.6,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Loading the Ark"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper mounted on board,Sheet (Irregular): 11 9/16 x 15 1/4in. (29.4 x 38.7 cm),,Purchase
37.7,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""March to Jericho"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper mounted on board,Sheet (Irregular): 11 1/8 x 18in. (28.3 x 45.7 cm),,Purchase
37.8,PC,Drawings,Allen Saalburg,Saalburg Allen,"Design for set ""Southern Street"" from ""Green Pastures""",(c. 1935),1930,Opaque watercolor and graphite pencil on paper on board,Sheet (Irregular): 14 1/4 x 19 1/4in. (36.2 x 48.9 cm),,Purchase
37.1,PC,Paintings,Ralston Crawford,Crawford Ralston,"Steel Foundry, Coatesville, Pa.",1936-1937,1936,Oil on canvas,Overall: 32 1/8 x 40in. (81.6 x 101.6 cm),,Purchase
37.11,PC,Drawings,Charles Campbell,Campbell Charles,Texas Boudoir,(c. 1937),1932,Watercolor and graphite pencil on paper,Sheet (Irregular): 16 3/4 x 21 1/4in. (42.5 x 54 cm),,Purchase
37.12,PC,Drawings,Clarence Holbrook Carter,Carter Clarence Holbrook,The Guardian Angel,1936,1936,Transparent and opaque watercolor and graphite pencil on paper,Sheet: 22 x 15in. (55.9 x 38.1 cm),,Purchase
37.13,PC,Drawings,Stevan Dohanos,Dohanos Stevan,"Wires, Number 3",1936,1936,"Watercolor, pen and ink, charcoal, and graphite pencil on paper",Sheet (Irregular): 11 1/8 x 6 9/16in. (28.3 x 16.7 cm),,Purchase
37.14a-b,PC,Drawings,Stevan Dohanos,Dohanos Stevan,Ross Yard,1936,1936,Watercolor and graphite pencil on paper,Sheet: 19 5/8 x 24 5/8in. (49.8 x 62.5 cm),,Purchase
37.15,PC,Drawings,Harriette G. Miller,Miller Harriette G.,Beacon Falls,-1936,1936,Watercolor and charcoal on paper,Sheet: 14 x 20in. (35.6 x 50.8 cm),,Purchase
37.16a-b,PC,Drawings,Emil Ganso,Ganso Emil,Factories,1936,1936,"Opaque watercolor on paper (recto); Brush and ink, wash, fabricated chalk on paper (verso)",Sheet: 15 1/4 x 22 1/2in. (38.7 x 57.2 cm),,Purchase
37.22,PC,Prints,Stevan Dohanos,Dohanos Stevan,Departure,1937,1937,Wood engraving,"Sheet (Irregular): 15 5/8 x 12 3/4in. (39.7 x 32.4 cm)
Image: 9 1/2 x 7 1/2in. (24.1 x 19.1 cm)",Color wood engraving,Purchase
37.23,PC,Prints,Walter DuBois Richards,Richards Walter DuBois,B. + O. Yards,-1936,1936,Lithograph,"Sheet: 14 x 19 1/8in. (35.6 x 48.6 cm)
Image: 10 7/16 x 16 3/8in. (26.5 x 41.6 cm)",,Purchase
37.24,PC,Prints,Walter DuBois Richards,Richards Walter DuBois,Ohio Thunder Storm,-1935,1935,Lithograph,"Sheet: 13 x 18 7/16in. (33 x 46.8 cm)
Image: 10 3/16 x 14 9/16in. (25.9 x 37 cm)",,Purchase
37.26,PC,Paintings,Marsden Hartley,Hartley Marsden,"The Old Bars, Dogtown",-1936,1936,Oil on composition board,Overall: 18 x 24 1/16in. (45.7 x 61.1 cm),,Purchase
37.27,PC,Paintings,Henry Mattson,Mattson Henry,Portrait of the Artist,1936,1936,Oil on canvas,Overall: 32 1/8 x 21 7/8in. (81.6 x 55.6 cm),,Purchase
37.28,PC,Paintings,Lloyd Parsons,Parsons Lloyd,Chipman's Creek,-1936,1936,Oil and ink on linen,Overall: 20 x 30in. (50.8 x 76.2 cm),,Purchase
37.31,PC,Paintings,Oscar Bluemner,Bluemner Oscar,Sleep,1936,1936,Tempera on paper mounted on cardboard,Overall: 14 15/16 x 19 7/8in. (37.9 x 50.5 cm),,Purchase
37.32,PC,Paintings,Arnold Wiltz,Wiltz Arnold,Firemen's Hall,-1931,1931,Oil on linen,Overall: 24 x 30in. (61 x 76.2 cm),,Purchase
37.33,PC,Drawings,Daniel Rasmusson,Rasmusson Daniel,Pieta,1937,1937,"Pen and ink, brush and ink, and wash on paper",Sheet: 9 7/8 x 13 7/8in. (25.1 x 35.2 cm),,Purchase
37.34,PC,Drawings,Daniel Rasmusson,Rasmusson Daniel,Death Comes for the Hero,1937,1937,Pen and ink and brush and ink on paper,Sheet: 9 x 11 7/8in. (22.9 x 30.2 cm),,Purchase
37.35,PC,Prints,Arnold Wiltz,Wiltz Arnold,Church,1930,1930,Lithograph,"Sheet: 17 1/2 x 23in. (44.5 x 58.4 cm)
Image: 13 3/4 x 15 7/8in. (34.9 x 40.3 cm)",,Purchase
37.36,PC,Prints,Arnold Wiltz,Wiltz Arnold,Rocks and Clouds,1936,1936,Wood engraving,"Sheet (Irregular): 10 5/16 x 7 13/16in. (26.2 x 19.8 cm)
Image: 7 1/16 x 5 1/16in. (17.9 x 12.9 cm)",,Purchase
37.37,PC,Prints,Arnold Wiltz,Wiltz Arnold,Spillway,1936,1936,Wood engraving,"Sheet (Irregular): 7 13/16 x 10 1/2in. (19.8 x 26.7 cm)
Image: 5 9/16 x 7in. (14.1 x 17.8 cm)",,Purchase
37.38,PC,Paintings,Daniel R. Celentano,Celentano Daniel R.,The First Born,-1937,1937,Oil on canvas,Overall: 26 1/8 x 24 1/16in. (66.4 x 61.1 cm),,Purchase
37.39,PC,Paintings,Arshile Gorky,Gorky Arshile,Painting,1936-1937,1936,Oil on canvas,Overall: 37 15/16 x 47 7/8in. (96.4 x 121.6 cm),,Purchase
37.4,PC,Paintings,Yasuo Kuniyoshi,Kuniyoshi Yasuo,Cafe,1937,1937,Oil on linen,Overall: 16 1/4 x 12 3/8in. (41.3 x 31.4 cm),,Purchase
37.41,PC,Paintings,Julian Levi,Levi Julian,Shipbottom Fishery,1937,1937,"Oil, tempera, and ink on linen",Overall: 22 1/8 x 32 1/16in. (56.2 x 81.4 cm),,Purchase
37.43a-b,PC,Paintings,Reginald Marsh,Marsh Reginald,Twenty Cent Movie,1936,1936,"Carbon pencil, ink, and oil on composition board",Overall: 30 x 40in. (76.2 x 101.6 cm),,Purchase
37.44,PC,Paintings,Isaac Soyer,Soyer Isaac,Employment Agency,1937,1937,Oil on canvas,Overall: 34 1/8 x 45 1/8in. (86.7 x 114.6 cm),,Purchase
37.45,PC,Paintings,Eugene Speicher,Speicher Eugene,Marianna,-1937,1937,Oil on linen,Overall: 45 3/8 x 35 5/8in. (115.3 x 90.5 cm),,Purchase
37.46,PC,Paintings,Julius Bloch,Bloch Julius,Self-Portrait,1937,1937,Oil on linen,Overall: 20 1/16 x 16 x 7/8in. (51 x 40.6 x 2.2 cm),,Purchase
37.47a-b,PC,Drawings,Dorothy Varian,Varian Dorothy,Willow Farm,1935,1935,Oil and charcoal on paper,Sheet (Irregular): 15 x 22in. (38.1 x 55.9 cm),,Purchase
37.48,PC,Sculpture,Cecil de Blaquiere Howard,Howard Cecil de Blaquiere,Jo Davidson,-1934,1934,Bronze,Overall: 18 x 11 7/16 x 12in. (45.7 x 29.1 x 30.5 cm),,Purchase
37.49,PC,Drawings,Nan Watson,Watson Nan,"Bouquet, Summer",-1937,1937,Watercolor and graphite pencil on paper,Sheet (Irregular): 11 3/16 x 14 3/4in. (28.4 x 37.5 cm),,Purchase
37.5,PC,Drawings,Nan Watson,Watson Nan,Zinnias,-1937,1937,Watercolor and graphite pencil on paper,Sheet (Irregular): 13 3/16 x 16 7/16in. (33.5 x 41.8 cm),,Purchase
37.51,PC,Sculpture,Betty Burroughs,Burroughs Betty,Herbert Winlock,1931,1931,Terra-cotta,Overall: 13 3/4 x 7 3/16 x 9 1/8in. (34.9 x 18.3 x 23.2 cm),,Purchase
37.52,PC,Drawings,Oscar Bluemner,Bluemner Oscar,Last Evening of the Year,-1926,1926,"Transparent and opaque watercolor, and colored pencil on paper mounted to paper","Sheet: 7 7/16 x 5in. (18.9 x 12.7 cm)
Mount (Sheet): 8 1/2 x 6 1/4in. (21.6 x 15.9 cm)",,"Gift of Mr. John D. Hatch, Jr."
37.53,PC,Drawings,Oscar Bluemner,Bluemner Oscar,Study for Composition,(c. 1931),1926,Opaque watercolor and ink on paper,Sheet: 4 3/4 x 6in. (12.1 x 15.2 cm),,"Gift of Mr. John D. Hatch, Jr."
37.54a-b,PC,Drawings,Oscar Bluemner,Bluemner Oscar,Study for Sleep,-1936,1936,Crayon on paper,Sheet: 5 1/16 x 6 3/4in. (12.9 x 17.1 cm),,"Gift of Mr. John D. Hatch, Jr."
38.1,PC,Paintings,Luigi Lucioni,Lucioni Luigi,Two Willows,-1936,1936,Oil on linen,Overall: 18 3/16 x 23 1/8in. (46.2 x 58.7 cm),,Purchase
38.2,PC,Prints,Paul R. Meltsner,Meltsner Paul R.,Excavation,(c. 1937),1932,Lithograph,"Sheet: 12 1/2 x 19in. (31.8 x 48.3 cm)
Image: 10 3/8 x 14 7/16in. (26.4 x 36.7 cm)",,Purchase
38.3,PC,Prints,Paul R. Meltsner,Meltsner Paul R.,Industrial Landscape,(c. 1937),1932,Lithograph,"Sheet (Irregular): 11 7/16 x 15 15/16in. (29.1 x 40.5 cm)
Image: 10 3/8 x 14 5/8in. (26.4 x 37.2 cm)",,Purchase
38.4,PC,Prints,Paul R. Meltsner,Meltsner Paul R.,Tank Cars,(c. 1937),1932,Lithograph,"Sheet (Irregular): 12 1/2 x 19in. (31.8 x 48.3 cm)
Image: 10 7/16 x 14 5/8in. (26.5 x 37.2 cm)",,Purchase
38.7,PC,Paintings,Edna Reindel,Reindel Edna,Berkshire Valley,-1931,1931,Oil on canvas,Overall: 20 x 24in. (50.8 x 61 cm),,Purchase
38.8,PC,Drawings,Oscar Bluemner,Bluemner Oscar,New England Landscape,(1907-1911),1907,Transparent and opaque watercolor on paper,Sheet (Irregular): 15 1/2 x 21in. (39.4 x 53.3 cm),,Purchase
38.9,PC,Sculpture,Henry Kreis,Kreis Henry,In Pensive Mood,-1935,1935,Marble,Overall: 27 1/2 x 23 7/8 x 11 1/2in. (69.9 x 60.6 x 29.2 cm),Tennessee marble,Purchase
38.11,PC,Drawings,Ben Shahn,Shahn Ben,"Scotts Run, West Virginia",1937,1937,Tempera on paper mounted on wood,"Sheet: 22 5/8 x 28 1/4in. (57.5 x 71.8 cm)
Mount: 23 1/16 x 28 1/2 x 5/16in. (58.6 x 72.4 x 0.8 cm)",,Purchase
38.12,PC,Drawings,Simmons Persons,Persons Simmons,Pleasant Introduction,-1937,1937,Watercolor and graphite pencil on paper,Sheet: 18 x 21 7/8in. (45.7 x 55.6 cm),,Purchase
